,Post_Content,Date,Comments_Shares,All_Responses,Brand
877,"This fruity, fro-yo dessert is the bombe – the coolest watermelon centrepiece to impress all your guests this Summer 🍉 Click the link for the recipe: http://bit.ly/2tBEC7d","July 18, 2017",142 Comments315 Shares,430,asda
878,"We're proud to be supporting Pride events across the country this summer – and to celebrate we've created these special rainbow gnomes. 🏳️‍🌈
They're £20 each and available in selected stores now. See where they're available here: http://bit.ly/2tALP7d","July 18, 2017","4K Comments3,846 Shares",17K,asda
879,"We're proud to be supporting Pride events across the country this summer – and to celebrate we've created these special rainbow gnomes. 🏳️‍🌈
They're £20 each and available in selected stores now. See where they're available here: http://bit.ly/2tALP7d","July 18, 2017","4K Comments3,846 Shares",17K,asda
880,"Happy World Emoji Day! 😎
Colleagues at our Killingbeck store have been creating fun emoji-inspired pizzas to celebrate! 🍕 👍 😍 😂","July 17, 2017",96 Comments112 Shares,3.3K,asda
881,"Happy World Emoji Day! 😎
Colleagues at our Killingbeck store have been creating fun emoji-inspired pizzas to celebrate! 🍕 👍 😍 😂","July 17, 2017",96 Comments112 Shares,3.3K,asda
882,"Little Leo can now join his mum and dad on their weekly shop at Asda Scunthorpe thanks to our GoTo Shop trolley.
Leo has a rare genetic disorder – and his mum Nikki said: ""The trolley helps massively ... I couldn’t do a big shop on my own before. In this trolley he is elevated and facing us, which means he's much happier because he can see everything that’s going on!"" The trolley's available in 400 of our stores. Find out more: http://bit.ly/2tQNusX","July 16, 2017",400 Comments529 Shares,12K,asda
883,"Little Leo can now join his mum and dad on their weekly shop at Asda Scunthorpe thanks to our GoTo Shop trolley.
Leo has a rare genetic disorder – and his mum Nikki said: ""The trolley helps massively ... I couldn’t do a big shop on my own before. In this trolley he is elevated and facing us, which means he's much happier because he can see everything that’s going on!"" The trolley's available in 400 of our stores. Find out more: http://bit.ly/2tQNusX","July 16, 2017",400 Comments529 Shares,12K,asda
884,"Frozen Rosé = Frosé. Yes, it’s a thing.
If you haven’t tried this phenomenon yet, then don’t leave it any longer!
Click the link to find out more: http://bit.ly/2tmZmPF","July 15, 2017",167 Comments55 Shares,317,asda
885,"Frozen Rosé = Frosé. Yes, it’s a thing.
If you haven’t tried this phenomenon yet, then don’t leave it any longer!
Click the link to find out more: http://bit.ly/2tmZmPF","July 15, 2017",167 Comments55 Shares,317,asda
886,"Here's something fun to try with the kids this weekend – our new Make Your Own Ice Cream kits.
Natalie shared this tasty pic on Instagram and said: ""They went down a treat ... each of my kids' favourites are the flavours that you do so it worked out pretty perfect! 👍 👏"" The kits come in vanilla, caramel and chocolate flavours, with toppings, for £1.50 each: http://bit.ly/2tlKDVq","July 15, 2017",257 Comments240 Shares,3.1K,asda
887,"Here's something fun to try with the kids this weekend – our new Make Your Own Ice Cream kits.
Natalie shared this tasty pic on Instagram and said: ""They went down a treat ... each of my kids' favourites are the flavours that you do so it worked out pretty perfect! 👍 👏"" The kits come in vanilla, caramel and chocolate flavours, with toppings, for £1.50 each: http://bit.ly/2tlKDVq","July 15, 2017",257 Comments240 Shares,3.1K,asda
888,"Tag someone you know who's crazy about cats! They'll love this cat themed tableware, the purrrfect way to accessorise. MEOW! 🐱
Click the link to shop now: http://bit.ly/2tIFGt3
Selected stores. Subject to availability.","July 14, 2017","6.4K Comments1,734 Shares",4.5K,asda
