Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views
2018-08-19 00:00:00,2018,Sainsburys,Serve this gorgeous cherry pound cake with cherry compote and lots of clotted cream – delightful. Get the Sainsbury’s magazine recipe: http://bit.ly/2nmKT5T,272,41,35,0
2018-08-17 00:00:00,2018,Sainsburys,"Ham, egg and chips gets a jazzy makeover in this tasty frittata. Serve it for brunch or dinner! Get the Sainsbury’s magazine recipe: http://bit.ly/2nCP4L7",391,382,196,89000
2018-08-15 00:00:00,2018,Sainsburys,"It’s time for a big park clean up 💪🌳
Want to get involved? Send a pic of you tidying up your local park and we'll add some free ice cream to your next online shop.
https://bit.ly/2nBEOTe",1700,144,320,1000000
2018-08-12 00:00:00,2018,Sainsburys,"Eccles cakes are a British classic, delicious with a cup of tea or a hunk of cheese! Get Sainsbury’s magazine’s recipe: http://bit.ly/2n7xZZd",431,150,303,36000
2018-08-08 00:00:00,2018,Sainsburys,"This Italian veggie tart is packed with vibrant Mediterranean flavours. Get the Sainsbury’s magazine recipe:
http://bit.ly/2KhW6Ol",224,84,63,18000
2018-08-05 00:00:00,2018,Sainsburys,Bangers and mash gets a summer makeover with this easy traybake. Get the Sainsbury’s magazine recipe: http://bit.ly/2Kir2Ob,384,54,113,0
2018-08-02 00:00:00,2018,Sainsburys,"Get set for a super-tasty August with the latest issue of Sainsbury’s magazine, packed with 47 new recipes including gorgeous fruity puds, posh picnic treats, twists on pub classics and LOADS more! Get your copy OUT NOW http://bit.ly/2OAFTae",113,47,13,13000
2018-08-01 00:00:00,2018,Sainsburys,BET you can’t guess all 3 correctly 🥗🍰🍉,412,192,44,353000
2018-07-27 00:00:00,2018,Sainsburys,Tiramisu gets a fruity makeover with everyone’s fave summer tipple. Get the Sainsbury’s magazine recipe: http://bit.ly/2uKklig,533,300,225,65000
2018-07-25 00:00:00,2018,Sainsburys,Add a spoonful of mild goats’ cheese to this red pepper risotto for some midweek indulgence. Get the Sainsbury’s magazine recipe: http://bit.ly/2Lk4ql0,85,20,15,0
2018-07-23 00:00:00,2018,Sainsburys,Heatwave hack.… because we live in a hot country now 😜,524,274,264,122000
2018-07-20 00:00:00,2018,Sainsburys,Spice up your barbecue with Sainsbury’s magazine’s chilli paneer skewers. The Indian cheese is brilliant at soaking up big flavours. Get the recipe: http://bit.ly/2KTI5LQ,124,47,13,0
2018-07-18 00:00:00,2018,Sainsburys,"Hands up for a MILLIONAIRE’S SHORTBREAD ICE LOLLY? Get the Sainsbury’s magazine recipe:
http://bit.ly/2NcQc2I",427,121,54,0
2018-07-16 00:00:00,2018,Sainsburys,There is a right answer btw… 🍌,247,156,19,76000
2018-07-14 00:00:00,2018,Sainsburys,Courgettes give this summery elderflower cake a lovely texture. Get the Sainsbury’s magazine recipe: http://bit.ly/2L0cXtb,288,104,95,0
