Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video,Has_Hashtag,Hashtag_Count,Likes,Response_Rate,Comments_Rate,Shares_Rate,Video_Rate
2018-12-08,2018,Sainsburys,"Bake a festive showstopper with Sainsbury’s magazine’s heavenly gingerbread profiteroles, filled with a roasted white chocolate filling. Get the recipe: http://bit.ly/2DZ1zKg",132,74,23,0,True,False,False,0,1700448.0,7.76266019307853e-05,4.351794350665237e-05,1.352584730612168e-05,0.0
2018-12-05,2018,Sainsburys,"Get in the party spirit with Sainsbury’s magazine’s December issue – out now! Packed with 47 new recipes including festive treats from Bake Off’s Liam Charles, a kitsch party menu for New Year, indulgent veggie dishes and showstopping meat centrepieces. Take a look inside: http://bit.ly/2E0XxBe",142,33,5,18000,True,True,False,0,1700328.0,8.351329861062101e-05,1.9408020099651362e-05,2.940609106007782e-06,0.010586192781628015
2018-12-01,2018,Sainsburys,Harry and Meghan’s wedding cake maker Claire Ptak serves up a cheesecake fit for royalty. Get the spiced white chocolate and cherry recipe from Sainsbury’s magazine: http://bit.ly/2DOvyEv,193,59,26,0,True,False,False,0,1700220.0,0.0001135147216242604,3.4701391584618455e-05,1.5292138664408137e-05,0.0
2018-11-29,2018,Sainsburys,These cookie-cup mince pies are deliciously chewy. They make a great Christmas gift (if you can bear to part with them)! Get the Sainsbury’s magazine recipe: http://bit.ly/2DO2Aok,187,34,22,0,True,False,False,0,1700046.0,0.00010999702360994936,1.9999458838172612e-05,1.2940826307052866e-05,0.0
2018-11-26,2018,Sainsburys,We need your help to brighten 1 million Christmases this season! Find our food bank priority signs in store and donate if you can 🌟,2200,180,710,627000,False,True,False,0,1699846.0,0.0012942348895135206,0.00010589194550565168,0.0004176848961611817,0.3688569435113534
2018-11-25,2018,Sainsburys,Did you know you can make your Christmas pudding in a slow cooker? Sainsbury’s magazine’s recipe is jam-packed with fruit and flavoured with amaretto. Get it here: http://bit.ly/2zm4lX1,208,80,58,0,True,False,False,0,1699792.0,0.00012236791325056246,4.706458201944709e-05,3.412182196409913e-05,0.0
2018-11-22,2018,Sainsburys,Kids AND adults will love making these cute reindeer crispie pops. Get the Sainsbury’s magazine recipe: http://bit.ly/2OO65Nh,273,97,67,0,True,False,False,0,1699533.0,0.00016063236194884122,5.707450223090696e-05,3.942259432444089e-05,0.0
2018-11-19,2018,Sainsburys,Calling all cheese lovers! Christmas really has come early 🧀🎄,898,1500,455,461000,False,True,False,0,1698775.0,0.0005286162087386499,0.0008829892128151168,0.00026784006122058544,0.2713720180718459
2018-11-15,2018,Sainsburys,*Watches on repeat for the kid dressed as a plug*,26000,12000,17918,2200000,False,True,False,0,1697309.0,0.015318365718911525,0.0070700149471899345,0.010556710651979105,1.2961694069848213
2018-11-14,2018,Sainsburys,"He didn't choose the plug life, the plug life chose him 🔌🎄",29000,23000,14616,1800000,False,True,False,0,1696717.0,0.017091830871029168,0.013555590001161064,0.008614282758998702,1.0608722609604313
